AT2G38340	Carub.0004s2032
AT2G38330	Carub.0004s2030
AT1G58215	Carub.0002s0639
AT1G72750	Carub.0002s1960
AT1G72760	Carub.0002s1961
AT1G72820	Carub.0002s1966
AT1G58225	Carub.0002s0635
AT2G38310	Carub.0004s2028
AT2G38320	Carub.0004s2029
AT1G72880	Carub.0002s1968
AT5G37070	Carub.0004s2027
AT1G72890	Carub.0002s1969
AT1G58220	Carub.0002s0638
AT1G72770	Carub.0002s1962
AT2G38290	Carub.0004s2024
AT1G72790	Carub.0002s1963
AT1G58250	Carub.0002s0632
AT1G72800	Carub.0002s1964
AT2G38270	Carub.0004s2022
AT1G72810	Carub.0002s1965
AT1G58230	Carub.0002s0634
AT2G38280	Carub.0004s2023
AT2G38450	Carub.0004s2042
AT2G38460	Carub.0004s2043
AT2G38430	Carub.0004s2040
AT2G38440	Carub.0004s2041
AT1G72740	Carub.0002s1959
AT1G58260	Carub.0002s0628
AT1G72650	Carub.0002s1950
AT1G72700	Carub.0002s1955
AT1G58310	Carub.0002s0624
AT1G72710	Carub.0002s1956
AT1G58300	Carub.0002s0625
AT1G72720	Carub.0002s1957
AT1G58290	Carub.0002s0626
AT2G38410	Carub.0004s2037
AT1G72730	Carub.0002s1958
AT1G58280	Carub.0002s0627
AT1G58350	Carub.0002s0620
AT1G72660	Carub.0002s1951
AT1G72670	Carub.0002s1952
AT1G58340	Carub.0002s0621
AT2G38400	Carub.0004s2036
AT1G72680	Carub.0002s1953
AT1G58330	Carub.0002s0622
AT2G38360	Carub.0004s2033
AT1G72690	Carub.0002s1954
AT1G58320	Carub.0002s0623
AT2G38370	Carub.0004s2034
AT2G38550	Carub.0004s2054
AT2G38510	Carub.0004s2050
AT1G73040	Carub.0002s1980
AT1G73050	Carub.0002s1981
AT1G73060	Carub.0002s1982
AT1G58110	Carub.0002s0651
AT1G73065	Carub.0002s1983
AT1G58100	Carub.0002s0652
AT1G73110	Carub.0002s1988
AT1G58060	Carub.0002s0657
AT1G73120	Carub.0002s1989
AT1G58050	Carub.0002s0658
AT1G58030	Carub.0002s0659
AT2G38490	Carub.0004s2048
AT2G38500	Carub.0004s2049
AT2G38480	Carub.0004s2046
AT5G37040	Carub.0002s0654
AT1G73090	Carub.0002s1986
AT1G58080	Carub.0002s0655
AT2G38465	Carub.0004s2044
AT1G58070	Carub.0002s0656
AT2G38470	Carub.0004s2045
AT2G38660	Carub.0004s2064
AT2G38670	Carub.0004s2065
AT2G38640	Carub.0004s2062
AT2G38650	Carub.0004s2063
AT2G38630	Carub.0004s2061
AT1G58210	Carub.0002s0640
AT1G72960	Carub.0002s1972
AT1G58200	Carub.0002s0641
AT1G73010	Carub.0002s1977
AT1G58170	Carub.0002s0646
AT1G73020	Carub.0002s1978
AT2G38610	Carub.0004s2059
AT1G73030	Carub.0002s1979
AT1G58120	Carub.0002s0649
AT2G38580	Carub.0004s2057
AT1G72970	Carub.0002s1973
AT2G38600	Carub.0004s2058
AT1G72980	Carub.0002s1974
AT5G66970	Carub.0002s0643
AT2G38560	Carub.0004s2055
AT1G72990	Carub.0002s1975
AT1G58180	Carub.0002s0644
AT2G38570	Carub.0004s2056
AT1G73000	Carub.0002s1976
AT2G38750	Carub.0004s2075
AT5G36960	Carub.0007s3221
AT2G38760	Carub.0004s2076
AT5G36950	Carub.0007s3220
AT2G38730	Carub.0004s2073
AT2G38740	Carub.0004s2074
AT5G36970	Carub.0007s3222
AT2G38710	Carub.0004s2071
AT1G72416	Carub.0002s1926
AT2G38720	Carub.0004s2072
AT1G72420	Carub.0002s1927
AT1G72430	Carub.0002s1928
AT2G38700	Carub.0004s2070
AT1G72440	Carub.0002s1929
AT1G72360	Carub.0002s1922
AT1G72370	Carub.0002s1923
AT1G72390	Carub.0002s1924
AT1G72410	Carub.0002s1925
AT2G38690	Carub.0004s2068
AT2G38695	Carub.0004s2069
AT2G38680	Carub.0004s2066
AT1G72340	Carub.0002s1920
AT5G36940	Carub.0007s3216
AT1G72350	Carub.0002s1921
AT2G38830	Carub.0004s2086
AT1G72330	Carub.0002s1919
AT5G36880	Carub.0007s3210
AT2G38840	Carub.0004s2087
AT2G38820	Carub.0004s2084
AT2G38823	Carub.0004s2085
AT5G36890	Carub.0007s3211
AT2G38800	Carub.0004s2082
AT2G38810	Carub.0004s2083
AT1G72310	Carub.0002s1916
AT2G38780	Carub.0004s2080
AT2G38790	Carub.0004s2081
AT1G72320	Carub.0002s1918
AT1G60620	Carub.0007s3207
AT2G38770	Carub.0004s2079
AT2G38940	Carub.0004s2097
AT2G38950	Carub.0004s2098
AT5G37300	Carub.0007s3242
AT2G38910	Carub.0004s2095
AT2G38920	Carub.0004s2096
AT5G37310	Carub.0007s3244
AT2G38900	Carub.0004s2093
AT1G58370	Carub.0002s0617
AT1G72640	Carub.0002s1948
AT2G38905	Carub.0004s2094
AT1G72645	Carub.0002s1949
AT2G38880	Carub.0004s2091
AT1G58360	Carub.0002s0619
AT2G38890	Carub.0004s2092
AT1G72600	Carub.0002s1944
AT5G37260	Carub.0007s3239
AT1G72610	Carub.0002s1945
AT1G72620	Carub.0002s1946
AT1G72630	Carub.0002s1947
AT1G72540	Carub.0002s1940
AT1G58410	Carub.0002s0610
AT1G72550	Carub.0002s1941
AT2G38860	Carub.0004s2088
AT1G72560	Carub.0002s1942
AT5G37180	Carub.0007s3237
AT2G38870	Carub.0004s2089
AT1G72570	Carub.0002s1943
AT5G37055	Carub.0007s3232
AT1G58450	Carub.0002s0606
AT1G58440	Carub.0002s0607
AT1G72520	Carub.0002s1938
AT1G58430	Carub.0002s0608
AT1G72530	Carub.0002s1939
AT1G58420	Carub.0002s0609
AT5G37020	Carub.0007s3229
AT1G72480	Carub.0002s1933
AT5G37010	Carub.0007s3228
AT1G72490	Carub.0002s1934
AT1G58470	Carub.0002s0604
AT1G72500	Carub.0002s1935
AT1G58460	Carub.0002s0605
AT5G37000	Carub.0007s3225
AT1G72450	Carub.0002s1930
AT2G38960	Carub.0004s2099
AT1G72460	Carub.0002s1931
AT1G58520	Carub.0002s0601
AT1G72470	Carub.0002s1932
AT1G43620	Carub.0001s3461
AT1G43630	Carub.0001s3462
AT1G43640	Carub.0001s3463
AT1G21880	Carub.0001s2135
AT1G21890	Carub.0001s2136
AT1G43650	Carub.0001s3468
AT1G21900	Carub.0001s2137
AT1G21910	Carub.0001s2138
AT1G21920	Carub.0001s2139
AT1G43670	Carub.0001s3470
AT1G43690	Carub.0001s3471
AT1G43700	Carub.0001s3472
AT1G21925	Carub.0001s2141
AT1G43710	Carub.0001s3473
AT1G21940	Carub.0001s2143
AT1G43770	Carub.0001s3475
AT1G43780	Carub.0001s3476
AT1G43790	Carub.0001s3477
AT1G21960	Carub.0001s2147
AT1G43800	Carub.0001s3478
AT1G43850	Carub.0001s3479
AT1G21970	Carub.0001s2149
AT1G43860	Carub.0001s3480
AT1G21980	Carub.0001s2151
AT1G43890	Carub.0001s3482
AT1G22010	Carub.0001s2152
AT1G43900	Carub.0001s3483
AT1G43910	Carub.0001s3484
AT5G11940	Carub.0001s3485
AT1G22015	Carub.0001s2155
AT1G22020	Carub.0001s2156
AT2G26200	Carub.0001s3487
AT1G22030	Carub.0001s2157
AT1G22040	Carub.0001s2158
AT1G22050	Carub.0001s2159
AT1G22060	Carub.0001s2162
AT1G43980	Carub.0001s3493
AT1G22065	Carub.0001s2163
AT1G44000	Carub.0001s3495
AT1G22070	Carub.0001s2164
AT1G44010	Carub.0001s3496
AT1G22110	Carub.0001s2166
AT1G22120	Carub.0001s2167
AT1G22130	Carub.0001s2168
AT1G22140	Carub.0001s2169
AT1G22150	Carub.0001s2170
AT1G22160	Carub.0001s2171
AT1G22170	Carub.0001s2172
AT1G22180	Carub.0001s2173
AT1G22190	Carub.0001s2174
