AT1G56060	CARHR045780
AT1G52900	CARHR043120
AT5G49680	CARHR259160
AT1G18840	CARHR019490
AT1G75100	CARHR068420
AT1G17550	CARHR018160
AT1G76190	CARHR069750
AT3G19310	CARHR094710
AT4G27510	CARHR235190
AT5G59865	CARHR273470
AT5G58330	CARHR272140
AT1G31814	CARHR031140
AT1G06570	CARHR006180
AT2G24230	CARHR117920
AT1G52920	CARHR043130
AT1G54115	CARHR044460
AT1G19980	CARHR020470
AT1G77270	CARHR070750
AT1G75090	CARHR068410
AT2G15610	CARHR105940
AT2G24240	CARHR117900
AT3G19300	CARHR094700
AT4G27500	CARHR235180
AT2G36620	CARHR130900
AT5G58320	CARHR272130
AT5G58310	CARHR272120
AT1G31817	CARHR031150
AT1G06560	CARHR006170
AT4G39540	CARHR247190
AT1G75080	CARHR068400
AT5G40490	CARHR261480
AT3G07990	CARHR082730
AT3G06778	CARHR081400
AT1G54095	CARHR044430
AT3G19250	CARHR094730
AT1G17580	CARHR018180
AT1G76180	CARHR069730
AT2G36630	CARHR130910
AT3G18080	CARHR093400
AT1G42980	CARHR031110
AT5G61090	CARHR274780
AT5G58300	CARHR272110
AT1G31810	CARHR031120
AT3G08000	CARHR082740
AT1G34320	CARHR033780
AT4G00370	CARHR248490
AT1G76170	CARHR069720
AT4G39560	CARHR247160
AT3G06790	CARHR081410
AT1G54090	CARHR044420
AT4G09140	CARHR260140
AT1G56050	CARHR045770
AT1G77280	CARHR070770
AT5G40530	CARHR261450
AT1G52890	CARHR043110
AT1G54100	CARHR044440
AT2G36640	CARHR130920
AT1G17560	CARHR018170
AT3G08020	CARHR082750
AT1G34340	CARHR033790
AT5G58290	CARHR272100
AT3G06780	CARHR081420
AT1G31812	CARHR031130
AT3G04850	CARHR079110
AT2G47500	CARHR142900
AT1G76160	CARHR069710
AT1G52880	CARHR043100
AT5G40540	CARHR261440
AT1G75130	CARHR068460
AT1G76230	CARHR069790
AT4G09060	CARHR260110
AT2G36650	CARHR130930
AT1G54140	CARHR044490
AT3G46770	CARHR154900
AT1G77230	CARHR070700
AT4G02485	CARHR250790
AT4G28703	CARHR236480
AT5G02180	CARHR211180
AT4G27470	CARHR235150
AT5G61040	CARHR274750
AT5G59840	CARHR273420
AT5G59140	CARHR285400
AT4G24600	CARHR223170
AT1G76220	CARHR069780
AT4G09040	CARHR260100
AT1G73990	CARHR067120
AT4G27460	CARHR235140
AT1G77240	CARHR070710
AT5G02170	CARHR211190
AT4G28700	CARHR236470
AT1G56450	CARHR055140
AT5G61030	CARHR274740
AT5G59830	CARHR273410
AT1G31850	CARHR031190
AT1G65020	CARHR056470
AT2G40940	CARHR142920
AT1G17590	CARHR018190
AT4G16660	CARHR223160
AT4G17770	CARHR224490
AT1G79760	CARHR262750
AT5G40560	CARHR261420
AT3G46750	CARHR154920
AT2G36660	CARHR130950
AT1G54120	CARHR044470
AT1G73980	CARHR067110
AT1G75125	CARHR068440
AT4G27490	CARHR235170
AT1G77250	CARHR070720
AT4G39610	CARHR247120
AT5G61020	CARHR274730
AT2G47520	CARHR142930
AT5G59820	CARHR273400
AT2G46320	CARHR141600
AT1G65900	CARHR057790
AT1G31820	CARHR031160
AT4G16670	CARHR223190
AT3G07960	CARHR082700
AT4G00355	CARHR248450
AT2G36670	CARHR130960
AT5G40570	CARHR261410
AT3G46760	CARHR154910
AT1G75120	CARHR068430
AT1G54130	CARHR044480
AT1G76200	CARHR069760
AT4G27480	CARHR235160
AT1G77260	CARHR070730
AT4G28706	CARHR236490
AT4G02480	CARHR250770
AT5G61010	CARHR274720
AT2G47530	CARHR142940
AT1G56460	CARHR055120
AT1G31830	CARHR031170
AT2G44140	CARHR139300
AT4G01810	CARHR249790
AT3G07970	CARHR082710
AT5G27765	CARHR247130
AT4G28660	CARHR236440
AT2G36680	CARHR130970
AT3G16860	CARHR092130
AT2G39415	CARHR093460
AT5G02230	CARHR211140
AT4G29880	CARHR237770
AT3G19390	CARHR094790
AT4G27435	CARHR235110
AT4G35580	CARHR212470
AT5G40580	CARHR261400
AT1G58270	CARHR262730
AT1G74030	CARHR067170
AT3G05690	CARHR080140
AT4G00340	CARHR248430
AT4G01790	CARHR249760
AT2G47540	CARHR142950
AT4G17740	CARHR224460
AT4G16630	CARHR223130
AT5G61000	CARHR274710
AT2G46340	CARHR141620
AT3G06860	CARHR081470
AT3G33520	CARHR153600
AT5G44290	CARHR178900
AT5G12970	CARHR200490
AT3G04890	CARHR079160
AT2G44130	CARHR139310
AT3G19380	CARHR094780
AT4G27430	CARHR235100
AT1G74020	CARHR067160
AT5G02200	CARHR211150
AT4G28650	CARHR236430
AT4G29860	CARHR237760
AT3G46740	CARHR154930
AT3G16857	CARHR092120
AT5G42080	CARHR212480
AT1G75160	CARHR068490
AT4G16620	CARHR223120
AT4G00350	CARHR248440
AT4G39620	CARHR247110
AT3G05700	CARHR080150
AT2G46360	CARHR141630
AT4G17730	CARHR224450
AT2G45050	CARHR140300
AT5G60990	CARHR274700
AT1G56430	CARHR055180
AT2G44150	CARHR139320
AT4G01800	CARHR249770
AT3G04900	CARHR079170
AT4G27450	CARHR235130
AT3G18160	CARHR093480
AT1G75150	CARHR068480
AT1G74010	CARHR067150
AT5G39580	CARHR262710
AT5G02220	CARHR211160
AT4G29890	CARHR237790
AT3G55550	CARHR165610
ATCG01010	CARHR212490
AT2G47560	CARHR142970
AT2G44160	CARHR139330
AT2G46370	CARHR141640
AT3G05710	CARHR080160
AT2G45060	CARHR140310
AT1G56440	CARHR055170
AT4G01940	CARHR249740
AT4G00330	CARHR248410
AT3G06868	CARHR081490
AT4G02450	CARHR250720
AT4G17760	CARHR224480
AT3G18165	CARHR093490
AT3G04903	CARHR079180
AT4G16650	CARHR223150
AT2G42940	CARHR138000
AT4G27440	CARHR235120
AT1G74000	CARHR067140
AT3G16870	CARHR092140
AT4G28670	CARHR236450
