AT2G36840	AL4G33040
AT5G41060	AL7G48490
AT1G08830	AL1G19260
AT1G09700	AL1G20250
AT1G30270	AL1G44220
AT4G10305	AL1G56200
AT5G24940	AL6G36610
AT5G02090	AL6G11310
AT3G12145	AL3G23820
AT2G48080	AL4G47680
AT3G21690	AL3G35810
AT4G02220	AL6G50910
AT4G18990	AL7G35170
AT2G45810	AL4G45020
AT2G46890	AL4G46350
AT1G19485	AL1G32230
AT1G51060	AL1G58860
AT1G21720	AL1G34890
AT1G49975	AL1G57530
AT4G03000	AL6G49930
AT4G29270	AL7G23190
AT3G01640	AL3G10510
AT5G13970	AL6G24630
AT5G15140	AL6G25960
AT4G05010	AL6G48600
AT5G42010	AL7G47170
AT1G08840	AL1G19270
AT2G21250	AL4G10390
AT1G10710	AL1G21590
AT1G09710	AL1G20260
AT1G49970	AL1G57520
AT1G32610	AL1G46870
AT5G04340	AL6G13960
AT5G03310	AL6G12630
AT3G12150	AL3G23830
AT2G48090	AL4G47690
AT3G21680	AL3G35800
AT4G19000	AL7G35160
AT2G27860	AL4G22370
AT2G45820	AL4G45030
AT5G44650	AL8G14900
AT2G46900	AL4G46360
AT1G19490	AL1G32240
AT5G15150	AL6G25970
AT1G30260	AL1G44210
AT3G01630	AL3G10520
AT4G03010	AL6G49920
AT5G13980	AL6G24640
AT2G21240	AL4G10380
AT2G36850	AL4G33060
AT5G39520	AL7G50790
AT5G41080	AL7G48470
AT3G10970	AL3G22510
AT2G20280	AL3G47810
AT1G10690	AL1G21560
AT1G08810	AL1G19240
AT1G49960	AL1G57510
AT1G32600	AL1G46860
AT3G12160	AL3G23840
AT5G03330	AL6G12660
AT2G29130	AL4G23690
AT2G27880	AL4G22360
AT3G21710	AL3G35830
AT4G18975	AL7G35190
AT1G21700	AL1G34870
AT2G45830	AL4G45040
AT1G30250	AL1G44200
AT1G09680	AL1G20230
AT3G02500	AL3G11860
AT3G01620	AL3G10530
AT5G13950	AL6G24610
AT5G15120	AL6G25940
AT4G03020	AL6G49910
AT2G20290	AL3G47800
AT2G21237	AL4G10370
AT5G52460	AL8G26900
AT3G10980	AL3G22520
AT1G10700	AL1G21570
AT1G08820	AL1G19250
AT1G49950	AL1G57500
AT5G03320	AL6G12650
AT1G19480	AL1G32220
AT3G12170	AL3G23850
AT2G27900	AL4G22350
AT5G24930	AL6G36600
AT5G02100	AL6G11320
AT5G04347	AL6G13980
AT2G46915	AL4G46380
AT4G03030	AL6G49900
AT3G21700	AL3G35820
AT4G18980	AL7G35180
AT1G21710	AL1G34880
AT1G32585	AL1G46850
AT3G01610	AL3G10540
AT3G02510	AL3G11870
AT5G13960	AL6G24620
AT5G15130	AL6G25950
AT1G09740	AL1G20290
AT2G22200	AL4G11690
AT4G29290	AL7G23150
AT5G39530	AL7G50770
AT3G09925	AL3G21200
AT1G30320	AL1G44260
AT5G25950	AL6G37900
AT5G04310	AL6G13930
AT2G20260	AL3G47830
AT2G36870	AL4G33080
AT3G12180	AL3G23860
AT4G19010	AL7G35130
AT2G46920	AL4G46390
AT1G19520	AL1G32270
AT5G15100	AL6G25920
AT3G20640	AL3G34520
AT3G02520	AL3G11880
AT3G01600	AL3G10550
AT1G50000	AL1G57570
AT2G21235	AL4G10360
AT4G28110	AL7G24480
AT5G41100	AL7G48450
AT5G42040	AL7G47120
AT5G41090	AL7G48460
AT4G28130	AL7G24470
AT2G20270	AL3G47820
AT3G09930	AL3G21210
AT1G30300	AL1G44250
AT5G04290	AL6G13920
AT2G36880	AL4G33090
AT3G10985	AL3G22540
AT3G12200	AL3G23870
AT4G19020	AL7G35120
